"operational_ward_code","display_name","zone_code","legacy_parent_geometry_code","office_address","ward_office_phone","control_room_contact","assistant_commissioner_name","assistant_commissioner_role","assistant_commissioner_office_phone","assistant_commissioner_mobile","assistant_commissioner_email","complaint_officer_name","complaint_officer_role","complaint_officer_contact","verification_status","approval_status","demo_routable","production_routable","source_as_of","last_checked","source_url","source_reference"
"A","A","BMC_Z1","none","134/E Shahid Bhagat Singh Marg, near RBI, Fort, Mumbai 400001","22607000; 22607038","22624000; 22607062; 9820574323","Dr Gajanan Bellale","Assistant Commissioner — A Ward","22607000 ext 7006","8424046715","ac.a@mcgm.gov.in","","","","source_verified","pending_local_review","true","false","2026-06-18","2026-07-16","https://dm.mcgm.gov.in/assets/pdf/Final%20updated%20Final%20Connect%20Diary%202021.07.07.2021.pdf","Connect 2026 A Ward section"
"B","B","BMC_Z1","none","121 Ramchandra Bhat Marg, Babula Tank Cross Lane, opposite J.J. Hospital, Mumbai 400009","23746796; 23736622","23794000; 9324938676","Jitendra Ghorade","Assistant Commissioner — B Ward","23780133; 23736622","9930768789","ac.b@mcgm.gov.in","Chandrashekhar Acharekar","Complaint Officer — B Ward","9702256156; co.b@mcgm.gov.in","source_verified","pending_local_review","true","false","2026-06-18","2026-07-16","https://dm.mcgm.gov.in/assets/pdf/Final%20updated%20Final%20Connect%20Diary%202021.07.07.2021.pdf","Connect 2026 B Ward section"
"C","C","BMC_Z1","none","76 Shrikant Palekar Marg, Chandanwadi, Marine Lines, Mumbai 400002","22014022; 22014025","22014000; 7039700715","Alka Sasane","Assistant Commissioner — C Ward (additional charge)","22014022; 22014025; 22055450","9930040322","ac.c@mcgm.gov.in","","","","source_verified","pending_local_review","true","false","2026-06-18","2026-07-16","https://dm.mcgm.gov.in/assets/pdf/Final%20updated%20Final%20Connect%20Diary%202021.07.07.2021.pdf","Connect 2026 C Ward section"
"D","D","BMC_Z1","none","Jobanputra Compound, Nana Chowk, Grant Road (W), Mumbai 400007","23861426-23861429","23864000; 9136080219","Santosh Salunkhe","Assistant Commissioner — D Ward","23861426-23861429; 23810396","9326110549","ac.d@mcgm.gov.in","","","","source_verified","pending_local_review","true","false","2026-06-18","2026-07-16","https://dm.mcgm.gov.in/assets/pdf/Final%20updated%20Final%20Connect%20Diary%202021.07.07.2021.pdf","Connect 2026 D Ward section"
"E","E","BMC_Z1","none","New MHADA Mill Compound, Rambhau Bhogale Marg, Ghodapdeo, Byculla (E), Mumbai 400008","23707401; 23707402; 23707403; 23707404","23014000; 9930762131","Anand Kankal","Assistant Commissioner — E Ward","23707401; 23707403 ext 101","7045804867","ac.e@mcgm.gov.in","","","","source_verified","pending_local_review","true","false","2026-06-18","2026-07-16","https://dm.mcgm.gov.in/assets/pdf/Final%20updated%20Final%20Connect%20Diary%202021.07.07.2021.pdf","Connect 2026 E Ward pp.111-112"
"F/S","F/S","BMC_Z2","none","Junction of Dr Ambedkar Marg and Jagannath Bhatankar Marg, Parel T.T., Mumbai 400012","24134545; 24134560; 24134565","24103000; 24166093","Vrushali Ingule","Assistant Commissioner — F/S Ward","24134560; 24161614; 24186246","9372948710","ac.fs@mcgm.gov.in","Sangeeta Deshpande","Complaint Officer — F/S Ward","9167406230; co.fs@mcgm.gov.in","source_verified","pending_local_review","true","false","2026-06-18","2026-07-16","https://dm.mcgm.gov.in/assets/pdf/Final%20updated%20Final%20Connect%20Diary%202021.07.07.2021.pdf","Connect 2026 F/S Ward section"
"F/N","F/N","BMC_Z2","none","Plot 96, Bhau Daji Road, King's Circle, Matunga (E), Mumbai 400019","24024353; 24024354; 24024355; 24024358","24084000; 9619617022","Arun Kshirsagar","Assistant Commissioner — F/N Ward","24024353-24024358","8928602727","ac.fn@mcgm.gov.in","Chandramani Yadav","Complaint Officer — F/N Ward","9869439888; co.fn@mcgm.gov.in","source_verified","pending_local_review","true","false","2026-06-18","2026-07-16","https://dm.mcgm.gov.in/assets/pdf/Final%20updated%20Final%20Connect%20Diary%202021.07.07.2021.pdf","Connect 2026 F/N Ward section"
"G/S","G/S","BMC_Z2","none","Dhanmill Naka, N. M. Joshi Marg, Mumbai 400013","65193100; 65193111","65193111; 9326972512","Swapnaja Kshirsagar","Assistant Commissioner — G/S Ward","65193100 ext 222; 24306033","9137342343","ac.gs@mcgm.gov.in","Dhanashree Bharti","Complaint Officer — G/S Ward","8097787228; co.gs@mcgm.gov.in","source_verified","pending_local_review","true","false","2026-06-18","2026-07-16","https://dm.mcgm.gov.in/assets/pdf/Final%20updated%20Final%20Connect%20Diary%202021.07.07.2021.pdf","Connect 2026 G/S Ward section"
"G/N","G/N","BMC_Z2","none","Harishchandra Yelve Marg, behind Plaza Cinema, Dadar (W), Mumbai 400028","24080035; 69517800","69517888; 8779293609","Yogesh Desai","Assistant Commissioner — G/N Ward","69517800; 69517801","8788551829","ac.gn@mcgm.gov.in","Sheetal Patkar","Complaint Officer — G/N Ward","8452992742","source_verified","pending_local_review","true","false","2026-06-18","2026-07-16","https://dm.mcgm.gov.in/assets/pdf/Final%20updated%20Final%20Connect%20Diary%202021.07.07.2021.pdf","Connect 2026 G/N Ward section"
"H/E","H/E","BMC_Z3","none","Plot 137, TPS IV, Road 2, Prabhat Colony, Santacruz (E), Mumbai 400055","26178401; 26138900","26114000; 9082734623","Mrudula Ande","Assistant Commissioner — H/E Ward","26138900; 26182217; 26182218; 26182219; 26178401","8879558851","ac.heast@mcgm.gov.in","","","","source_verified","pending_local_review","true","false","2026-06-18","2026-07-16","https://dm.mcgm.gov.in/assets/pdf/Final%20updated%20Final%20Connect%20Diary%202021.07.07.2021.pdf","Connect 2026 H/E Ward section"
